,State,County,"Population estimates, July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Housing units in multi-unit structures, percent, 2009-2013","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Black-owned firms, percent, 2007","American Indian- and Alaska Native-owned firms, percent, 2007","Asian-owned firms, percent, 2007","Native Hawaiian- and Other Pacific Islander-owned firms, percent, 2007","Hispanic-owned firms, percent, 2007","Women-owned firms, percent, 2007","Population per square mile, 2010","Land area in square miles, 2010",full_name,fips_code
2432,TENNESSEE,CHESTER COUNTY,"17,276",0.8%,"17,145","17,131",5.5%,22.1%,17.2%,51.9%,87.2%,9.5%,0.5%,0.8%,,2.0%,2.8%,84.9%,"1,082",1.6%,"7,158",76.0%,"$114,400",$995,$322,$696,7.2%,21,"5,958",2.67,90.1%,1.7%,82.7%,70.7%,86.3%,16.4%,9.3%,11.8%,54.3%,51.9%,,"26,901","76,064","35,291","132,948","$7,743",26.0,"$45,667","$21,425",15.9%,242,"3,083","87,749",-3.1%,"1,050","1,221",674,365,62,"1,128",28,"1,155",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0,285.74,"CHESTER COUNTY, TENNESSEE",47023
2433,TENNESSEE,CLAIBORNE COUNTY,"31,756",-1.4%,"32,212","32,213",5.0%,19.1%,19.9%,51.1%,96.4%,1.2%,0.4%,0.7%,,1.4%,1.3%,95.3%,"2,006",1.3%,"15,540",70.3%,"$107,500",$900,$308,$616,7.0%,93,"13,238",2.29,87.2%,2.5%,73.9%,60.6%,80.4%,15.2%,16.0%,11.7%,49.3%,45.0%,"23,637","84,351","327,940",,"170,081","$5,359",24.4,"$36,077","$20,753",23.4%,438,"7,696","270,597",2.8%,"1,840","2,423","1,521",689,67,"2,306",233,"2,070",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,74.1,434.58,"CLAIBORNE COUNTY, TENNESSEE",47025
2434,TENNESSEE,CLAY COUNTY,"7,717",-1.8%,"7,858","7,861",4.8%,20.2%,24.3%,50.8%,96.3%,1.6%,0.4%,0.1%,0.1%,1.5%,2.6%,94.1%,547,0.5%,"4,359",74.9%,"$88,700",$950,$309,$489,4.2%,18,"3,173",2.39,90.4%,1.3%,71.0%,55.6%,80.6%,14.6%,13.6%,14.6%,45.0%,41.8%,,"12,952",,,"37,747","$4,815",29.1,"$31,487","$19,512",21.0%,115,"1,155","32,832",5.4%,661,817,476,204,47,762,53,730,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.2,236.54,"CLAY COUNTY, TENNESSEE",47027
2435,TENNESSEE,COCKE COUNTY,"35,774",0.4%,"35,642","35,662",5.3%,20.3%,21.1%,51.7%,95.0%,2.1%,0.6%,0.4%,0.1%,1.8%,2.5%,93.0%,"2,695",0.6%,"17,629",68.2%,"$111,000",$973,$314,$602,8.4%,,"14,181",2.47,91.3%,2.2%,73.1%,57.9%,78.6%,10.8%,18.0%,12.3%,53.6%,50.8%,"48,174","102,703","659,601",,"340,991","$9,586",27.8,"$33,614","$21,332",22.5%,486,"6,078","200,561",1.2%,"2,104","2,098","1,010",776,106,"1,900",273,"1,666",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,82.1,434.57,"COCKE COUNTY, TENNESSEE",47029
2436,TENNESSEE,COFFEE COUNTY,"55,700",5.5%,"52,803","52,796",6.3%,24.0%,17.3%,51.2%,92.3%,3.9%,0.5%,1.1%,0.1%,2.2%,4.4%,88.5%,"4,381",2.9%,"24,283",67.4%,"$127,200","$1,064",$380,$713,13.5%,262,"21,626",2.49,85.3%,3.9%,85.6%,68.6%,86.3%,19.6%,13.2%,11.0%,58.5%,51.8%,"89,827","305,823",,"269,563","827,639","$15,551",23.6,"$47,998","$25,637",15.9%,"1,251","18,603","735,373",-6.5%,"3,667","4,824","2,619","1,715",375,"4,263",502,"4,069",1.8%,0.0%,1.9%,0.0%,0.0%,0.0%,123.1,428.96,"COFFEE COUNTY, TENNESSEE",47031
2437,TENNESSEE,CROCKETT COUNTY,"14,328",-1.7%,"14,576","14,586",5.8%,23.6%,18.8%,52.2%,82.5%,14.3%,0.7%,0.3%,,2.1%,10.9%,73.3%,846,4.2%,"6,420",69.5%,"$98,900",$978,$378,$699,6.6%,25,"5,335",2.68,89.5%,8.8%,78.3%,66.7%,81.1%,13.0%,14.1%,14.3%,56.5%,50.5%,,"31,551","127,920","352,168","78,499","$5,368",24.0,"$42,047","$22,050",19.4%,224,"2,003","67,563",5.4%,895,984,633,278,85,875,77,842,0.0%,0.0%,0.0%,0.0%,0.0%,18.5%,54.9,265.54,"CROCKETT COUNTY, TENNESSEE",47033
2438,TENNESSEE,CUMBERLAND COUNTY,"59,673",6.4%,"56,062","56,053",4.5%,17.5%,30.7%,51.3%,96.9%,0.7%,0.4%,0.6%,0.1%,1.3%,3.1%,94.2%,"6,649",2.2%,"29,821",78.0%,"$143,000",$938,$304,$690,10.1%,914,"25,347",2.28,82.8%,3.6%,83.6%,75.2%,86.0%,18.3%,16.0%,12.6%,46.5%,41.3%,"101,244","386,035","678,006",,"750,308","$13,157",22.5,"$43,893","$24,985",14.4%,"1,062","14,991","525,496",1.0%,"4,555","5,414","3,145","1,634",207,"4,950",652,"4,427",0.0%,0.0%,0.0%,0.0%,0.0%,23.4%,82.3,681.03,"CUMBERLAND COUNTY, TENNESSEE",47035
2439,TENNESSEE,DAVIDSON COUNTY,"692,587",10.5%,"626,560","626,681",6.6%,20.8%,12.2%,51.7%,65.3%,27.7%,0.5%,3.9%,0.1%,2.5%,10.4%,56.2%,"31,061",12.8%,"319,529",54.1%,"$219,900","$1,401",$493,"$1,036",37.2%,"6,934","277,903",2.38,81.0%,17.3%,90.8%,82.5%,88.6%,40.3%,8.5%,14.2%,70.9%,66.4%,"2,573,787","8,547,681","7,319,390","17,607,006","10,138,326","$15,638",24.6,"$56,507","$34,343",15.4%,"19,881","448,759","24,888,999",2.1%,"75,275","72,042","40,315","25,144","16,598","52,727","6,412","62,305",11.1%,0.6%,3.4%,0.1%,2.9%,26.8%,"1,243.3",504.03,"DAVIDSON COUNTY, TENNESSEE",47037
2440,TENNESSEE,DECATUR COUNTY,"11,706",-0.4%,"11,750","11,757",5.4%,21.0%,23.4%,50.9%,94.8%,3.0%,0.4%,0.5%,0.1%,1.2%,3.3%,91.9%,741,0.6%,"6,920",76.5%,"$94,700",$974,$298,$547,4.1%,,"4,623",2.48,93.2%,0.9%,77.2%,64.8%,83.5%,12.8%,12.9%,12.1%,52.3%,45.8%,"7,852","67,408","117,046",,"76,453","$6,550",25.9,"$40,233","$24,337",18.2%,216,"2,920","109,989",6.0%,825,"1,142",656,320,25,"1,076",115,984,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,35.2,333.85,"DECATUR COUNTY, TENNESSEE",47039
2441,TENNESSEE,DEKALB COUNTY,"20,138",7.6%,"18,717","18,723",5.6%,21.6%,18.4%,50.0%,94.9%,2.0%,0.5%,1.2%,,1.5%,8.6%,87.4%,"1,140",6.1%,"9,644",69.0%,"$137,800",$974,$316,$652,7.8%,101,"7,487",2.58,88.0%,8.4%,77.5%,69.6%,79.9%,15.7%,11.6%,14.3%,52.8%,46.5%,"13,095","40,882","671,976",,"107,288","$5,676",28.5,"$44,134","$25,643",17.4%,292,"4,452","173,081",1.2%,"1,344","1,394",696,480,,"1,299",130,"1,154",0.0%,0.0%,0.0%,0.0%,0.0%,24.2%,61.5,304.35,"DEKALB COUNTY, TENNESSEE",47041
2442,TENNESSEE,DICKSON COUNTY,"53,446",7.6%,"49,650","49,666",6.0%,23.1%,16.2%,50.9%,92.7%,4.1%,0.5%,0.6%,0.1%,1.9%,3.7%,89.6%,"3,155",2.0%,"22,084",73.0%,"$156,600","$1,165",$390,$756,10.6%,356,"18,978",2.7,87.4%,3.1%,80.0%,71.0%,83.1%,15.4%,11.9%,10.9%,57.7%,53.1%,"67,119","260,256","775,694","513,670","714,737","$14,187",32.8,"$50,549","$26,093",13.8%,987,"14,269","487,474",1.3%,"3,953","4,110","2,499","1,254",229,"3,753",417,"3,446",2.4%,0.0%,0.0%,0.0%,0.6%,20.6%,101.4,489.90,"DICKSON COUNTY, TENNESSEE",47043
2443,TENNESSEE,DYER COUNTY,"37,320",-2.6%,"38,330","38,335",6.2%,23.9%,17.6%,51.8%,82.7%,14.3%,0.4%,0.8%,,1.8%,3.6%,79.8%,"2,056",1.9%,"16,935",62.1%,"$99,100","$1,060",$337,$670,13.0%,79,"15,180",2.44,84.6%,3.1%,82.6%,74.5%,82.7%,16.9%,15.2%,9.8%,58.6%,54.2%,"42,441","200,584","1,455,595",,"580,848","$15,184",19.9,"$43,762","$25,427",18.4%,791,"13,015","479,144",-2.7%,"2,445","3,530","1,770","1,304",525,"2,872",280,"3,037",0.0%,0.0%,0.0%,0.0%,0.0%,24.4%,74.8,512.33,"DYER COUNTY, TENNESSEE",47045
2444,TENNESSEE,FAYETTE COUNTY,"40,507",5.4%,"38,439","38,413",5.0%,19.0%,21.4%,50.8%,70.2%,27.7%,0.4%,0.7%,,1.0%,2.9%,67.8%,"2,788",1.7%,"17,419",79.7%,"$191,200","$1,348",$381,$711,5.5%,328,"15,410",2.54,91.3%,2.6%,82.8%,71.9%,86.6%,21.7%,10.5%,11.0%,57.7%,50.4%,"22,495","44,098","814,340",,"216,120","$5,590",32.9,"$59,017","$31,629",13.1%,597,"6,897","290,174",-0.6%,"3,559","4,054","2,299","1,429",946,"2,992",598,"3,317",15.3%,0.0%,0.0%,0.0%,0.0%,23.0%,54.5,704.79,"FAYETTE COUNTY, TENNESSEE",47047
2445,TENNESSEE,FENTRESS COUNTY,"18,217",1.4%,"17,960","17,959",5.3%,21.0%,22.0%,51.2%,97.7%,0.5%,0.4%,0.3%,,1.1%,1.6%,96.3%,"1,229",0.9%,"9,053",76.7%,"$100,400",$843,$294,$499,5.5%,,"7,403",2.41,86.7%,1.3%,75.6%,63.8%,79.8%,13.6%,18.1%,12.3%,49.3%,44.0%,,,"39,080","5,447","145,586","$8,115",24.6,"$35,084","$19,013",20.6%,264,"3,920","119,716",2.0%,"1,512","1,754",996,607,,"1,685",138,"1,545",0.0%,0.0%,0.0%,0.0%,0.0%,20.3%,36.0,498.61,"FENTRESS COUNTY, TENNESSEE",47049
2446,TENNESSEE,FRANKLIN COUNTY,"41,890",2.0%,"41,064","41,052",5.0%,20.1%,20.0%,51.2%,91.4%,5.2%,0.4%,1.0%,0.1%,1.9%,3.6%,88.2%,"3,306",2.7%,"19,504",74.4%,"$128,900","$1,066",$371,$662,7.9%,211,"16,431",2.41,89.5%,3.0%,83.3%,69.7%,87.2%,20.7%,13.8%,10.6%,56.0%,50.7%,,"149,744","3,643,097",,"410,424","$10,066",23.4,"$49,038","$27,027",16.0%,705,"12,039","505,070",5.7%,"2,632","3,432","1,918","1,009",265,"3,055",513,"2,636",0.0%,0.0%,0.0%,0.0%,0.0%,26.9%,74.0,554.54,"FRANKLIN COUNTY, TENNESSEE",47051
2447,TENNESSEE,GIBSON COUNTY,"49,045",-1.3%,"49,687","49,683",6.4%,24.3%,18.1%,52.1%,79.6%,18.1%,0.3%,0.3%,,1.7%,2.8%,77.2%,"3,329",1.2%,"22,622",69.4%,"$94,900","$1,056",$349,$681,10.3%,109,"19,223",2.5,85.6%,2.0%,81.7%,70.1%,84.9%,17.8%,13.8%,10.9%,54.8%,50.6%,"44,986","139,691","737,794","310,443","505,780","$10,192",23.2,"$41,886","$22,565",16.5%,928,"11,179","411,726",-1.5%,"2,869","3,501","1,882","1,185",411,"2,971",466,"2,767",0.0%,0.0%,0.0%,0.0%,1.4%,24.4%,82.4,602.74,"GIBSON COUNTY, TENNESSEE",47053
2448,TENNESSEE,GILES COUNTY,"29,503",0.1%,"29,483","29,485",5.6%,21.2%,20.0%,51.5%,86.4%,10.4%,0.4%,0.5%,,2.2%,2.8%,84.2%,"2,037",2.0%,"14,127",70.3%,"$123,300","$1,067",$349,$643,10.7%,107,"11,496",2.47,87.1%,2.1%,83.7%,67.5%,85.4%,15.1%,12.4%,12.2%,55.1%,49.6%,"24,825","77,549","1,040,182","189,075","317,126","$10,908",26.4,"$47,528","$23,877",14.5%,545,"8,933","333,964",4.4%,"1,777","2,102","1,168",708,221,"1,798",331,"1,687",2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,48.3,610.93,"GILES COUNTY, TENNESSEE",47055
2449,TENNESSEE,GRAINGER COUNTY,"23,145",2.2%,"22,656","22,657",5.0%,20.3%,20.5%,49.6%,97.1%,1.0%,0.4%,0.3%,0.1%,1.2%,3.5%,94.1%,"1,652",2.3%,"11,130",78.4%,"$113,500",$955,$306,$635,2.8%,58,"8,948",2.56,90.7%,3.6%,81.2%,70.7%,79.0%,10.6%,19.1%,12.4%,54.6%,48.7%,,"11,862","138,824",,"89,912","$3,960",33.1,"$42,997","$22,151",18.4%,234,"2,443","78,843",-6.4%,"1,491","1,544",931,469,30,"1,484",213,"1,301",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.7,280.60,"GRAINGER COUNTY, TENNESSEE",47057
2450,TENNESSEE,GREENE COUNTY,"69,087",0.4%,"68,825","68,831",4.9%,19.3%,21.6%,50.8%,95.5%,2.2%,0.4%,0.5%,0.1%,1.3%,3.0%,92.9%,"5,733",1.2%,"32,680",72.9%,"$118,500",$947,$309,$602,6.9%,171,"27,244",2.45,87.8%,2.2%,79.4%,68.3%,83.6%,15.3%,18.0%,11.2%,53.0%,50.6%,"77,805","298,071","1,771,052","181,819","686,211","$9,971",22.4,"$40,138","$23,668",15.1%,"1,124","23,289","784,762",4.1%,"4,079","4,726","2,708","1,529",193,"4,325",503,"4,007",0.0%,0.0%,0.7%,0.0%,0.4%,23.4%,110.6,622.17,"GREENE COUNTY, TENNESSEE",47059
2451,TENNESSEE,GRUNDY COUNTY,"13,346",-2.8%,"13,726","13,703",5.6%,21.6%,21.0%,50.5%,97.1%,0.6%,0.7%,0.4%,,1.2%,1.4%,95.9%,678,0.6%,"6,456",77.3%,"$83,100",$929,$301,$609,6.0%,4,"4,838",2.72,94.9%,1.2%,75.3%,64.0%,75.7%,12.1%,18.2%,13.7%,48.4%,42.3%,"7,239","24,363",,649,"72,139","$5,285",29.1,"$36,987","$18,782",21.2%,149,"1,242","33,744",-8.7%,"1,158","1,564",808,617,64,"1,480",134,"1,342",0.0%,0.0%,0.0%,0.0%,0.0%,32.3%,38.0,360.53,"GRUNDY COUNTY, TENNESSEE",47061
2452,TENNESSEE,HAMBLEN COUNTY,"64,569",3.3%,"62,531","62,544",5.9%,23.1%,18.5%,51.2%,91.4%,4.4%,0.9%,1.1%,0.3%,2.0%,12.0%,81.1%,"3,959",6.0%,"27,251",66.4%,"$132,200",$990,$331,$717,15.7%,145,"24,411",2.58,89.3%,9.4%,80.9%,70.8%,81.3%,16.1%,13.2%,13.9%,56.0%,52.1%,"99,185","358,653","3,235,813",,"978,743","$15,598",21.5,"$42,589","$22,252",17.1%,"1,314","28,825","1,075,689",-0.6%,"3,606","4,337","2,302","1,432",390,"3,661",295,"3,736",0.0%,0.0%,0.0%,0.0%,1.1%,21.0%,388.0,161.18,"HAMBLEN COUNTY, TENNESSEE",47063
2453,TENNESSEE,HAMILTON COUNTY,"364,286",8.3%,"336,486","336,463",5.8%,20.8%,17.6%,51.7%,75.9%,19.4%,0.5%,2.1%,0.1%,1.8%,5.9%,71.0%,"22,867",5.0%,"160,770",63.8%,"$171,400","$1,271",$404,$840,24.2%,"1,687","140,890",2.46,85.9%,6.5%,86.0%,77.9%,89.2%,31.2%,9.7%,11.0%,61.8%,56.8%,"903,255","3,179,108","12,127,517","2,903,956","5,236,523","$15,154",21.7,"$53,035","$31,184",13.0%,"9,032","188,469","8,169,558",1.8%,"27,208","30,007","16,943","9,332","4,801","24,045","3,346","24,741",9.3%,0.3%,2.8%,0.0%,1.4%,24.6%,620.3,542.43,"HAMILTON COUNTY, TENNESSEE",47065
2454,TENNESSEE,HANCOCK COUNTY,"6,549",-3.9%,"6,815","6,819",5.4%,20.8%,21.3%,50.7%,97.2%,0.5%,0.4%,0.2%,,1.6%,0.7%,96.7%,385,1.4%,"3,602",79.4%,"$88,800",$795,$250,$410,8.1%,,"2,809",2.28,89.0%,2.2%,67.8%,43.9%,76.3%,11.5%,21.9%,11.6%,46.5%,43.7%,"1,784","16,625",,,"24,675","$3,672",31.6,"$28,990","$20,578",29.9%,54,453,"16,513",6.8%,442,561,221,182,,520,69,462,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,30.7,222.34,"HANCOCK COUNTY, TENNESSEE",47067
2455,TENNESSEE,HARDEMAN COUNTY,"25,220",-7.4%,"27,247","27,253",5.2%,19.6%,18.1%,45.4%,55.3%,42.2%,0.3%,0.8%,,1.4%,1.8%,54.1%,"1,427",1.3%,"11,027",72.6%,"$86,200",$947,$351,$618,6.3%,24,"8,907",2.43,93.0%,3.2%,75.7%,59.9%,79.1%,11.4%,14.0%,12.3%,43.8%,48.5%,"13,088","76,881",,"69,519","147,929","$5,575",28.8,"$38,651","$17,352",23.5%,335,"5,590","198,179",1.7%,"1,454","1,697",886,623,518,"1,121",77,"1,495",0.0%,0.0%,0.0%,0.0%,0.0%,26.8%,40.8,667.77,"HARDEMAN COUNTY, TENNESSEE",47069
2456,TENNESSEE,HARDIN COUNTY,"25,776",-0.9%,"26,012","26,026",5.3%,20.6%,23.1%,51.2%,93.9%,3.3%,0.6%,0.5%,,1.5%,2.8%,91.6%,"2,015",1.6%,"14,149",73.4%,"$115,800",$888,$306,$605,5.1%,22,"10,267",2.46,92.3%,2.6%,78.0%,66.5%,80.4%,13.9%,12.6%,11.8%,50.3%,44.7%,"31,714","100,387","743,875","227,965","396,748","$15,289",24.9,"$39,798","$22,905",20.3%,497,"6,728","272,632",3.2%,"1,735","2,265","1,339",690,84,"2,107",308,"1,834",0.0%,0.0%,0.0%,0.0%,0.0%,26.8%,45.1,577.32,"HARDIN COUNTY, TENNESSEE",47071
2457,TENNESSEE,HAWKINS COUNTY,"56,530",-0.5%,"56,829","56,833",4.8%,19.9%,21.1%,50.9%,96.4%,1.5%,0.3%,0.5%,,1.2%,1.7%,95.0%,"3,950",1.1%,"27,330",73.7%,"$118,600",$974,$309,$608,9.2%,126,"23,330",2.39,87.9%,2.1%,79.6%,65.0%,83.7%,14.0%,16.9%,11.1%,51.3%,47.6%,"38,109","102,454","1,328,331","89,104","303,127","$5,357",25.9,"$40,335","$23,801",18.4%,615,"10,639","400,986",15.2%,"2,992","3,331","1,810","1,159",127,"3,054",334,"2,772",0.0%,0.0%,0.0%,0.0%,0.0%,24.5%,116.7,486.98,"HAWKINS COUNTY, TENNESSEE",47073
2458,TENNESSEE,HAYWOOD COUNTY,"17,335",-7.8%,"18,807","18,787",5.5%,22.2%,19.0%,53.4%,47.3%,50.7%,0.4%,0.3%,0.1%,1.2%,4.4%,43.8%,"1,051",1.7%,"8,418",60.4%,"$102,200",$994,$398,$642,13.2%,15,"7,100",2.47,90.6%,3.9%,75.5%,61.5%,82.1%,12.6%,12.5%,11.4%,58.0%,54.4%,"14,532","37,719","597,821","68,104","207,609","$11,382",23.9,"$38,362","$22,148",20.5%,311,"5,172","191,520",1.4%,"1,170","1,090",525,478,464,573,60,957,0.0%,0.0%,0.0%,0.0%,0.0%,22.9%,35.2,533.11,"HAYWOOD COUNTY, TENNESSEE",47075
2459,TENNESSEE,HENDERSON COUNTY,"27,847",0.2%,"27,780","27,769",5.8%,22.8%,18.4%,51.5%,89.4%,7.8%,0.3%,0.3%,,2.1%,2.3%,87.5%,"1,609",1.2%,"13,015",73.8%,"$93,500",$934,$331,$640,6.8%,17,"10,671",2.58,91.8%,2.1%,79.5%,68.3%,81.2%,13.8%,14.4%,11.1%,55.3%,51.2%,"26,177","60,062","362,353","56,485","296,926","$10,596",27.2,"$42,430","$21,793",18.0%,504,"6,589","204,779",-0.2%,"1,801","2,114","1,215",762,225,"1,824",261,"1,758",3.3%,0.0%,0.0%,0.0%,0.0%,23.2%,53.4,520.07,"HENDERSON COUNTY, TENNESSEE",47077
2460,TENNESSEE,HENRY COUNTY,"32,358",0.0%,"32,349","32,330",5.2%,20.5%,23.3%,51.5%,89.6%,7.6%,0.4%,0.5%,,1.8%,2.8%,87.2%,"2,764",1.3%,"17,254",76.5%,"$101,200",$938,$319,$629,7.9%,21,"13,406",2.37,88.7%,2.6%,83.3%,71.8%,86.0%,17.1%,16.8%,11.2%,50.7%,46.6%,"33,072","141,972","277,761","159,422","489,476","$15,135",20.0,"$40,837","$22,727",18.8%,699,"8,872","312,053",2.4%,"2,284","2,982","1,832",868,241,"2,630",463,"2,367",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.5,562.10,"HENRY COUNTY, TENNESSEE",47079
2461,TENNESSEE,HICKMAN COUNTY,"25,063",1.5%,"24,690","24,690",5.5%,20.8%,17.6%,47.4%,92.4%,5.0%,0.7%,0.4%,,1.5%,2.6%,90.1%,"1,724",1.2%,"10,554",81.0%,"$111,300",$980,$334,$687,5.3%,73,"8,667",2.66,89.6%,2.1%,70.7%,57.3%,79.7%,11.0%,16.1%,12.9%,51.1%,50.0%,,,"124,356","45,252","71,366","$2,953",36.2,"$41,998","$22,248",16.3%,281,"2,388","83,007",3.8%,"1,773","1,931","1,024",620,106,"1,794",144,"1,683",0.0%,0.0%,0.0%,0.0%,0.0%,25.5%,40.3,612.50,"HICKMAN COUNTY, TENNESSEE",47081
2462,TENNESSEE,HOUSTON COUNTY,"8,263",-2.0%,"8,429","8,426",5.2%,21.8%,20.5%,50.9%,93.9%,3.0%,0.4%,0.5%,0.1%,2.1%,2.5%,91.7%,704,1.1%,"4,241",79.0%,"$98,300",$991,$355,$669,4.5%,,"2,943",2.7,89.8%,1.6%,71.8%,65.2%,76.8%,10.6%,17.6%,12.6%,48.0%,40.4%,,"28,499","23,168",,"35,258","$4,191",33.8,"$43,964","$21,866",16.7%,104,"1,051","32,257",-3.2%,521,606,456,105,30,561,68,501,0.0%,0.0%,0.0%,0.0%,0.0%,17.8%,42.1,200.29,"HOUSTON COUNTY, TENNESSEE",47083
2463,TENNESSEE,HUMPHREYS COUNTY,"18,486",-0.3%,"18,535","18,538",5.5%,21.5%,20.0%,50.3%,94.4%,2.8%,0.7%,0.5%,,1.6%,2.7%,92.2%,"1,451",1.6%,"8,992",76.5%,"$104,200",$976,$341,$639,5.0%,11,"6,858",2.64,85.2%,3.0%,74.7%,65.1%,84.5%,13.3%,17.4%,11.2%,51.0%,46.5%,"18,073","47,324","2,099,118","111,295","185,723","$10,163",29.5,"$41,510","$23,636",13.6%,324,"4,373","218,316",3.8%,"1,129","1,401",678,495,81,"1,209",163,"1,095",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,34.9,530.98,"HUMPHREYS COUNTY, TENNESSEE",47085
2464,TENNESSEE,JACKSON COUNTY,"11,758",1.1%,"11,632","11,638",4.7%,18.0%,22.5%,50.3%,97.0%,0.6%,0.7%,0.2%,,1.5%,2.2%,95.0%,854,0.9%,"5,898",75.9%,"$107,000",$947,$321,$538,5.2%,,"4,543",2.51,91.9%,1.6%,72.0%,62.2%,78.5%,9.0%,16.8%,12.5%,48.2%,44.9%,,,,,"30,904","$2,701",33.2,"$36,703","$20,276",19.8%,102,838,"26,280",-21.9%,751,705,456,233,,687,109,583,0.0%,0.0%,0.0%,0.0%,0.0%,22.4%,37.7,308.32,"JACKSON COUNTY, TENNESSEE",47087
2465,TENNESSEE,JEFFERSON COUNTY,"54,012",4.5%,"51,668","51,407",4.8%,19.7%,20.0%,50.8%,95.4%,2.1%,0.5%,0.6%,0.1%,1.3%,3.9%,92.0%,"4,067",2.5%,"24,301",74.2%,"$142,200","$1,063",$347,$671,8.7%,157,"19,910",2.58,86.3%,4.2%,85.1%,70.7%,84.5%,16.4%,15.6%,11.6%,55.6%,52.2%,"53,076","132,451","988,290",,"640,357","$12,269",26.5,"$47,264","$24,855",13.8%,704,"11,151","399,103",-1.9%,"3,217","3,491","2,152",936,90,"3,315",544,"2,746",0.0%,0.0%,0.0%,0.0%,0.0%,19.9%,187.6,274.08,"JEFFERSON COUNTY, TENNESSEE",47089
2466,TENNESSEE,JOHNSON COUNTY,"17,778",-2.5%,"18,240","18,244",4.2%,16.7%,22.8%,46.2%,95.9%,2.3%,0.4%,0.3%,,1.1%,2.2%,93.9%,"1,640",1.7%,"9,039",77.6%,"$118,700",$935,$291,$532,6.0%,1,"6,858",2.31,89.6%,1.9%,72.8%,58.6%,79.6%,11.3%,16.8%,12.6%,39.7%,43.2%,"9,262","42,839","165,435",,"108,792","$6,012",24.8,"$34,151","$19,784",20.7%,237,"3,424","143,363",7.2%,"1,005","1,330",796,364,,"1,286",114,"1,115",0.0%,0.0%,0.0%,0.0%,0.0%,16.2%,61.1,298.48,"JOHNSON COUNTY, TENNESSEE",47091
2467,TENNESSEE,KNOX COUNTY,"465,289",7.6%,"432,269","432,226",5.7%,21.0%,15.8%,51.4%,86.0%,8.9%,0.4%,2.3%,0.1%,2.2%,4.4%,82.3%,"28,997",4.9%,"206,043",64.5%,"$174,700","$1,265",$400,$864,23.1%,"2,398","183,318",2.43,82.5%,5.9%,89.1%,80.6%,91.0%,36.7%,8.6%,9.8%,64.4%,58.7%,"1,039,338","4,262,190","4,816,872","5,382,511","7,926,682","$17,962",22.1,"$54,437","$31,678",13.2%,"11,562","219,315","9,396,139",0.5%,"36,313","41,385","22,921","13,707","4,385","35,506","4,695","33,995",4.9%,0.6%,1.9%,0.0%,1.7%,25.6%,850.5,508.22,"KNOX COUNTY, TENNESSEE",47093
